,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,-0.01581669723421266,0.0024089954324120954,0.008469103034880143,-0.036031375870885195,-0.004567452629693238,-0.025020994341103213,-0.01339658752484321,-0.00710388086039081,-0.0005761494569786259,-0.01563166810975702
rap,0.0646014718643555,-0.047919250724586485,-0.006763411202825858,0.09851613686447024,0.017248455020780304,-0.008802776239765425,0.001484172306360765,-0.005520649115461667,-0.00094480436266062,-0.022646352702714076
rock,-0.13662416092843271,0.03419998434045904,-0.01821754371565292,-0.053782561078950825,-0.03032677418537011,-0.022464623300340835,0.013011033654444304,0.02703438584805406,0.017155255418289876,0.04432901010201453
latin,0.05944835685904894,0.009694894380467377,0.009535117821599121,-0.004809277159059959,0.03580154318071331,-0.040543441300017746,-0.00958887474763627,0.0958117588846185,-0.009433586314890125,-0.017392352577293435
r&b,0.015594934406422293,-0.10770377896400372,-0.023999932489042558,0.010592667773966339,0.08508051646355755,-0.05616381731933125,-0.014968420288995013,0.020857344483947316,-0.027810624608224335,0.022965061323124286
edm,0.00019466270448733274,0.10387482994700728,0.027074031155418957,-0.02219235984210711,-0.09439649874831597,0.13463856525451173,0.021769562422208562,-0.11090358721837264,0.02040967583187176,-0.006342720604796732
